Depth,Nodes,TimeMs,,,,
8,93729,28,,,,
8,33500,10,,,,
8,104484,27,,,,
8,162422,43,,,,
8,868560,261,,,,
8,570689,182,,,,
8,1365886,350,,,,
8,2509951,660,,,,
8,545020,130,,,,
8,1290130,322,,,,
8,2199611,579,,,,
8,4558767,1169,,,,
8,1898872,504,,,,
8,1365150,345,,,,
8,1035086,261,,,,
8,1290193,275,,,,
8,12644464,4938,,,,
8,21471463,8296,,,,
8,43007329,15586,,,,
8,17613692,6409,,,,
8,23020934,8817,,,,
8,16504060,5928,,,,
8,6400828,2102,,,,
8,6073843,1965,,,,
8,9658903,3253,,,,
8,12630148,4549,,,,
8,7662371,2793,,,,
8,9863870,3528,,,,
8,11780795,4582,,,,
8,17462066,6320,,,,
8,11031378,3874,,,,
8,6021579,2346,,,,
8,4294390,1579,,,,
8,3040103,1052,,,,
8,5979465,1991,,,,
8,5187290,1807,,,,
8,8803682,2753,,,,
8,3268313,995,,,,
8,1940526,577,,,,
8,15758468,5179,,,,
8,3733947,1036,,,,
8,942630,298,,,,
8,1524790,498,,,,
8,881851,239,,,,
8,1080659,318,,,,
8,1097130,391,,,,
8,585951,181,,,,
8,1150650,359,,,,
8,315204,95,,,,
8,148341,52,,,,
8,96868,26,,,,
8,158866,44,,,,
8,99193,28,,,,
8,182542,55,,,,
8,356173,114,,,,
8,117152,29,,,,
8,285785,64,,,,
8,234910,58,,,,
8,147452,30,,,,
8,289480,51,,,,
8,77472,17,,,,
8,59936,13,,,,
8,62078,11,,,,
8,92583,20,,,,
8,74787,14,,,,
8,121814,32,,,,
8,312679,69,,,,
8,1328064,279,,,,
8,673414,135,,,,
8,587173,135,,,,
8,10258384,3627,,,,
8,6966861,2459,,,,
8,8497163,2961,,,,
8,9581646,3589,,,,
8,14697551,5174,,,,
8,6796423,2378,,,,
8,7515578,2445,,,,
8,8015261,2777,,,,
8,11134369,3784,,,,
8,23895811,7696,,,,
8,10027227,3207,,,,
8,18197673,5845,,,,
8,26714784,8454,,,,
8,12199572,3947,,,,
8,8383814,2716,,,,
8,7523772,2630,,,,
8,8617778,2758,,,,
8,6884320,2316,,,,
8,2890835,994,,,,
8,5347136,1884,,,,
8,4003859,1346,,,,
8,1161419,396,,,,
8,2151401,665,,,,
8,4207736,1349,,,,
8,2544221,814,,,,
8,17518978,5307,,,,
8,488544,186,,,,
8,236200,86,,,,
8,691847,283,,,,
8,37751,10,,,,
8,133427,30,,,,
8,433832,110,,,,
8,516555,124,,,,
8,413330,99,,,,
8,208552,52,,,,
8,327709,81,,,,
8,504567,121,,,,
8,229632,55,,,,
8,127105,36,,,,
8,188522,48,,,,
8,52080,17,,,,
8,150390,30,,,,
8,75149,18,,,,
8,47763,11,,,,
8,68035,14,,,,
8,140204,31,,,,
8,39444,12,,,,
8,98524,23,,,,
8,80523,17,,,,
8,122249,31,,,,
8,166605,42,,,,
8,141415,38,,,,
8,151034,33,,,,
8,176315,57,,,,
8,770343,208,,,,
8,2415169,650,,,,
8,901866,254,,,,
8,3690849,871,,,,
8,3153626,729,,,,
8,1074036,223,,,,
8,1277673,292,,,,
8,907448,199,,,,
8,946149,196,,,,
8,7467576,2655,,,,
8,9165414,2755,,,,
8,37686809,12407,,,,
8,10429092,3586,,,,
8,21571934,7325,,,,
8,12151952,3924,,,,
8,19008848,6792,,,,
8,27310976,9810,,,,
8,10404188,3650,,,,
8,22479947,7898,,,,
8,6207948,2473,,,,
8,4348415,1631,,,,
8,6104178,2239,,,,
8,3869553,1341,,,,
8,6854551,2413,,,,
8,4883122,1803,,,,
8,2084596,780,,,,
8,6785183,2396,,,,
8,10044364,3539,,,,
8,1964315,831,,,,
8,828320,289,,,,
8,2836398,961,,,,
8,5117076,1679,,,,
8,235670,84,,,,
8,1418337,504,,,,
8,221370,83,,,,
8,2012131,648,,,,
8,1073912,367,,,,
8,3802471,1358,,,,
8,2043565,644,,,,
8,1402358,484,,,,
8,507595,172,,,,
8,464867,151,,,,
8,3212154,1130,,,,
8,2808003,950,,,,
8,391394,121,,,,
8,1091215,397,,,,
8,234449,73,,,,
8,977862,361,,,,
8,966826,349,,,,
8,262633,69,,,,
8,592178,188,,,,
8,927761,288,,,,
8,1142173,369,,,,
8,245001,82,,,,
8,155062,64,,,,
8,16,1,,,,
8,916189,310,,,,
8,869494,300,,,,
8,557561,164,,,,
8,967924,295,,,,
8,1013785,346,,,,
8,1260377,400,,,,
