Depth,Nodes,TimeMs,HistoryHitRate
8,260894,70,0.90
8,1003896,263,1.66
8,453587,119,1.86
8,362420,91,1.36
8,180399,47,1.25
8,516447,144,1.93
8,176077,54,1.46
8,247969,68,1.90
8,288226,87,2.04
8,243375,68,1.94
8,138999,39,2.13
8,99450,31,2.24
8,227711,55,2.46
8,279261,72,2.63
8,245474,58,2.78
8,189817,42,2.52
8,117101,29,2.63
8,159613,49,2.50
8,143738,34,2.11
8,93837,27,2.81
8,117974,30,2.81
8,155130,31,2.41
8,129044,24,1.33
8,114806,22,1.73
8,146303,28,2.10
8,109724,20,2.45
8,183071,35,2.65
8,287850,60,2.60
8,705086,145,2.26
8,2722771,582,2.51
8,1829964,392,1.88
8,1172257,223,2.10
8,9563875,2909,0.07
8,11506301,3801,0.11
8,15928464,5381,0.14
8,13392086,4514,0.10
8,16659435,5888,0.08
8,11046004,3908,0.08
8,11593676,3798,0.04
8,12979560,4514,0.08
8,28776264,9767,0.06
8,20281794,6402,0.05
8,22344630,7344,0.05
8,22181490,7514,0.05
8,8726580,2692,0.13
8,4155567,1302,0.25
8,2214760,697,0.25
8,5502727,1748,0.51
8,7236388,2060,0.53
8,4913964,1528,0.49
8,2833011,933,0.43
8,3215155,1096,0.68
8,5533079,1878,0.55
8,1184078,354,0.50
8,3385969,1042,0.30
8,3009105,1067,0.45
8,2776690,856,0.40
8,6380446,1959,0.37
8,1655004,540,0.51
8,42493,15,0.59
8,1645600,512,0.22
8,673457,203,0.10
8,8345450,2665,0.18
8,11626572,3845,0.10
8,13698400,4536,0.15
8,20096114,6447,0.12
8,22940057,7206,0.11
8,14647599,4865,0.08
8,13346437,4327,0.12
8,16043188,5360,0.11
8,19443233,6665,0.19
8,14647087,4569,0.10
8,18651766,5754,0.11
8,7949437,2218,0.07
8,11062139,3380,0.08
8,16157011,4718,0.09
8,8400354,2453,0.10
8,12897916,3592,0.15
8,15217687,4254,0.11
8,11955260,3572,0.12
8,11533829,3754,0.10
8,6966429,2010,0.09
8,5198153,1818,0.24
8,304,1,0.00
8,304,1,0.00
8,18086633,4985,0.08
8,8825938,2690,0.07
8,16929863,4884,0.19
8,13656554,4355,0.15
8,23664324,7366,0.14
8,17576706,5719,0.10
8,5889588,2046,0.05
8,9437196,2876,0.08
8,13641308,4431,0.07
8,3492315,1079,0.06
8,13941844,4366,0.10
8,3631897,1270,0.08
8,2802390,930,0.08
8,2170702,660,0.05
8,1381154,425,0.05
8,861520,309,0.17
8,1643514,595,0.31
8,1243811,472,0.47
8,275533,90,0.68
8,1177604,286,0.66
8,892366,227,0.75
8,1173683,301,1.16
8,862886,210,1.14
8,2210042,589,1.29
8,1793651,487,1.17
8,2395150,637,1.01
8,2079868,627,1.18
8,354041,104,1.78
8,1075685,244,2.50
8,1142131,288,1.97
8,407926,105,2.90
8,600763,138,2.91
8,476028,139,2.24
8,582591,137,2.78
8,494248,127,2.23
